,제목,가수,가사,장르
29,사람 Pt.2 (feat. 아이유),Agust D,"So time is yet now
Right here to go
I know you know
Anything does know
So time is yet now
Right here to go
Nobody doesn’t know anymore
사랑이라는 말
어쩌면 순간의 감정의 나열
조건이 붙지 나는 무얼 사랑하는가
충분히 사랑받지 못한 아이
그래서 무엇보다 신중한 타입
나는 말야 원해 진중한 사이
알잖아 영원은 모래성
잔잔한 파도에도 힘없이 쉽게 무너져
상실은 무엇 때문에 슬픈 걸까
사실은 두려운 게 슬픈 거야
So far away, you’re gone
Getting far away
Too far away, you’re gone
I know I have to know
So time is yet now
Right here to go
I know you know
Anything does know
So time is yet now
Right here to go
Nobody doesn’t know anymore
당신은 무엇 땜에 슬픈 걸까
사실은 두려움이 큰 거잖아
함께 미래를 그리던 우리는 없고
쌓은 모래성들을
부숴 버린 것은 우린 거야
승패가 없는 게임이라지만
난 언제나 game loser
모든 걸 주겠다던 우린 모든 것을 부셔
그리고 떠나지 사랑이든 사람이든
모두가 이기적이기 때문이야
So far away, you’re gone
Getting far away
Too far away, you’re gone
I know I have to know
So time is yet now
Right here to go
I know you know
Anything does know
So time is yet now
Right here to go
Nobody doesn’t know anymore
떠가는 사람 떠가는 사랑
사랑의 끝은 과연 무엇일까
수많은 사람 스쳐간 사랑
사랑은 사랑으로 완벽할까
그래 말야 이타적인 게 어쩌면
되려 이기적이네
널 위해 한다는 말은 곧 내 욕심이기에
욕심을 버리면 행복해질 건가
채우지 못한 반쪽짜리 허상
삶은 저항과 복종 사이의 싸움이라는데
내가 보기에는 외로움들과의 싸움이네
눈물이 터져 나오면 그대 울어도 돼
(울어도 돼)
당신은 사랑받기에도 이미 충분한데
So time is yet now
Right here to go
I know you know
Anything does know
So time is yet now
Right here to go
Nobody doesn’t know anymore",R&B/Soul
30,심(心),DK(디셈버),"한땐 너를 사랑했지만
네 곁에 있는 사랑이
너무 아름다워 보기 좋았었기에
잘 되길 바래왔는데
많은 축복에 둘러싸인
행복한 그 사람 곁에
이젠 네가 아닌 다른 그의 사랑이
또다시 날 아프게 해
미안해 너를 위해 기대어줄
가슴 밖에 빌려줄 수 없는 나인걸
슬퍼하는 너를 위해서
해줄게 남아 있다면
무엇이든 다 얘길 해주길 바래
나 기다리고 있을게
야윈 그대 안에 눈물이
마르는 그날이 오면
웃으며 다시 그댈 보내줄게요
사랑하니까
슬퍼하는 너를 위해서
해줄게 남아 있다면
무엇이든 다 얘길 해주길 바래
나 기다리고 있을게
야윈 그대 안에 눈물이
마르는 그날이 오면
웃으며 다시 그댈 보내줄게요
사랑하니까",록/메탈
31,아버지,임영웅,"하얀 머리 뽑아 달라며
한 개 백 원이라던
그 시절 다 지나가고
이젠 흰 눈만 남았네
그렇게도 힘이 드냐며
나를 위로하시다
어느새 잠들어버린
주름만 남은 내 아버지
세상이 아무리 힘들어도
당신 있으면 견딜 것 같아
오래오래 날 지키며
그냥 곁에만 있어 주세요
활짝 웃는 모습이 어린애 같아 보여도
아프다 말도 못 하는 사람
이제는 내가 지켜줄게
어린아이로 돌아가 버린
사랑하는 내 아버지
오래오래 날 지키며
그냥 곁에만 있어 주세요
활짝 웃는 모습이
어린애 같아 보여도
아프다 말도 못 하는 사람
이제는 내가 지켜줄게
어린아이로 돌아가 버린
사랑하는 내 아버지
사랑해요 내 아버지",발라드
32,ANTIFRAGILE,LE SSERAFIM (르세라핌),"Anti ti ti ti fragile fragile
Anti ti ti ti fragile
Anti ti ti ti fragile fragile
Antifragile antifragile
가시밭길 위로 riding
you made me boost up
거짓으로 가득 찬 party
가렵지도 않아
내 뒤에 말들이 많아
나도 첨 듣는 내 rival
모두 기도해 내 falling
그 손 위로 I’mma jump in
Yes gimme that
걸어봐 위엄 like a lion
눈빛엔 거대한 desire
더 부어 gasoline on fire
불길 속에 다시 날아 rising
잊지 마 내가 두고 온 toe shoes
무슨 말이 더 필요해
무시 마 내가 걸어온 커리어
I go to ride till I die die
더 높이 가줄게
내가 바랐던 세계 젤 위에
떨어져도 돼
I’m antifragile antifragile
난 지금 on my way 갖다버려 줘
너의 fairy tale
Now you know my name
I’m antifragile antifragile
Anti ti ti ti fragile fragile
Anti ti ti ti fragile
Anti ti ti ti fragile fragile
Antifragile antifragile
“Lovey lovey lovey
dovey dovey dovey”
멋대로 정하네 나란 애에 대해
I don't know what to say
I can't feel it
뜨거운 관심은 환영
귀여운 질투는 go ahead
줄 달린 인형은 no thanks
내 미랠 쓸 나의 노래
Yes gimme that
걸어봐 위엄 like a lion
눈빛엔 거대한 desire
더 부어 gasoline on fire
불길 속에 다시 날아 rising
잊지 마 내가 두고 온 toe shoes
무슨 말이 더 필요해
무시 마 내가 걸어온 커리어
I go to ride till I die die
더 높이 가줄게
내가 바랐던 세계 젤 위에
떨어져도 돼
I’m antifragile antifragile
난 지금 on my way 갖다버려 줘
너의 fairy tale
Now you know my name
I’m antifragile antifragile
Anti ti ti ti fragile fragile
Anti ti ti ti fragile
Anti ti ti ti fragile fragile
Antifragile antifragile
We can break it baby
Rock it twist it lock it baby
All I know is you can’t chain me
‘Cause I’m gonna break out
gonna gonna break out out
We can break it baby
Rock it twist it lock it baby
All I know is you can’t chain me
'Cause I’m gonna break out
gonna gonna break out out
더 높이 가줄게
내가 바랐던 세계 젤 위에
떨어져도 돼
I’m antifragile antifragile
난 지금 on my way 갖다버려 줘
너의 fairy tale
Now you know my name
I’m antifragile antifragile
Anti ti ti ti fragile fragile
Anti ti ti ti fragile
Anti ti ti ti fragile fragile
Antifragile antifragile",댄스
33,F*ck My Life,세븐틴 (SEVENTEEN),"이런 빌어먹을 세상
이런 빌어먹을 세상 나만 혼자 바보 됐어
갈 길을 잃은 채 갈 곳을 잃은 채
나만 바보 됐어
잊어버리자 이렇게 웃어 버리자 이렇게
되도 않는 위로를 해봐도
집에 돌아가는 길에 울컥
울고 싶어 계속 Wuh Uh Uh
사라져 가는 내 모습을
다시 찾고만 싶을 뿐
어릴 때 만화영화에 나오는 주인공은 왜
내가 될 수 없는지 내 맘은 아주 검은색
나와 하루만 심장 바꿔 줄 사람 어디도 없나
이런 빌어먹을 세상 나만 혼자 바보 됐어
갈 길을 잃은 채 갈 곳을 잃은 채
나만 바보 됐어
지금부터 Fight For My Life
나를 위해 Fight For My Life
무뎌짐이 익숙한 세상에서
이제 나는 나를 찾고 싶어
점점 난 지쳐가 혼자서 꾸는 꿈
이젠 너무나 지겨워 그만두고 싶어
난 나에게 어제 나에게
부끄러운 내일이 되고 싶지 않아
되도 않는 다짐을 해봐도
바보 같은 내 모습이 우스워
울고 싶어 계속 Wuh Uh Uh
세상에 맘이 무뎌져서 내가 작아지는 기분
말할 수 없는 비밀이 또다시 눈물이 되지
난 부끄러워서 누구에게도 말을 못 했지
나와 하루만 심장 바꿔 줄 사람 어디도 없나
이런 빌어먹을 세상 나만 혼자 바보 됐어
갈 길을 잃은 채 갈 곳을 잃은 채
나만 바보 됐어
지금부터 Fight For My Life
나를 위해 Fight For My Life
무뎌짐이 익숙한 세상에서
이제 나는 나를 찾고 싶어
무뎌짐이 익숙한 세상에서
이제 나는 나를 찾고 싶어",랩/힙합
34,안녕이라고 말하지마,V.O.S,"떨리는 너의 입술을 난 난 처음 보았지
무슨 말 하려고 말 하려고 뜸만 들이는지
슬픈 예감은 다 맞는단 노래 가사처럼
설마 아니겠지 아닐거야 아니어야만 돼
벌써 넌 나를 떠나 니 마음마저 떠나
또 몸마저도 떠나는데
난 몰라 널 잡을 방법을
좀 누가 내게 말해줘요
오늘밤 그 말만은 말아요
왜 날 버리고 갔나요
나 마음이 아파 가슴이 아파
눈물 차올라요
아직은 안녕 우린 안돼요
넌 그 입을 더 열지마
안녕이라고 내게 말하지마
차가운 너의 한마디가 날 주저앉혔지
세상 무너질 듯 무너진 듯
오 눈물만 눈물만
지금 순간이 가면 이 순간이 지나면
영영 우린 이별인데
사랑해 죽도록 사랑한 날
날 버리지 말아줘요
오늘밤 그 말만은 말아요
왜 날 버리고 갔나요
나 마음이 아파 가슴이 아파
눈물 차올라요
아직은 안녕 우린 안돼요
넌 그 입을 더 열지마
안녕이라고 내게 말하지마
이별이 뭔지 나는 몰라요
그냥 서럽고 서러워
나 사연이 많아
추억이 많아 가슴 찢어져요
아직은 안녕 우린 안돼요
넌 그 입을 더 열지마
안녕이라고 내게 말하지마
안녕이라고 내게 말하지마
안녕이라고 내게 말하지마",발라드
35,LOVE DIVE,IVE (아이브),"네가 참 궁금해 그건 너도 마찬가지
이거면 충분해 쫓고 쫓는 이런 놀이
참을 수 없는 이끌림과 호기심
묘한 너와 나 두고 보면 알겠지

Woo 눈동자 아래로
Woo 감추고 있는 거
Woo yeah It’s so bad It’s good
난 그 맘을 좀 봐야겠어

Narcissistic, my god I love it
서로를 비춘 밤
아름다운 까만 눈빛 더 빠져 깊이
(넌 내게로 난 네게로)
숨 참고 love dive

Woo lalalalalalala
Woo 어서 와서 love dive
Woo oh perfect sacrifice yeah
숨 참고 love dive

마음은 이렇게 알다가도 모르지
사랑이라는 건 한순간에 필 테니
직접 들어와 두 눈으로 확인해
내 맘 가장 깊은 데로 오면 돼

Woo 망설일 시간은
Woo 3초면 되는 걸
Woo yeah It’s so bad It’s good
원하면 감히 뛰어들어

Narcissistic, my god I love it
서로를 비춘 밤
아름다운 까만 눈빛 더 빠져 깊이
(넌 내게로 난 네게로)
숨 참고 love dive

Woo lalalalalalala
Woo 어서 와서 love dive
Woo oh perfect sacrifice yeah
숨 참고 love dive

숨 참고 love dive
숨 참고 love dive
숨 참고 love dive
숨 참고 love dive

Woo lalalalalalala
Woo 어서 와서 love dive
Woo oh perfect sacrifice yeah
숨 참고 love dive",댄스
36,Allergy,(여자)아이들,"얼굴 없는 Feed
파리 날리는 Followers
I’m a hater of Instagram
Hater of TikTok
Lock 걸린 갤러리
볼품없는 Fit
뭔데 운동도 안 하고
메이크업 하나도 못하고
그래 난 내가 봐도 별로인걸
매일 밤 In 탐색 Tab
나만 없는 샤넬
왠지 나보다 성숙한 요즘 10대
MZ 해시태그 What the Y2K
세상은 나 빼고 잘 돌아가
Please give me the Hate button
난 내가 너무 싫거든
빌어먹을 My name
Why ain’t I pretty
Why ain’t I lovely
Why ain’t I sexy
Why am I me
Love me love me love me
love me love me, want
Love me love me love me
love me love me, want
She so pretty
Yea so lovely
She got everything
Why am I not her
Love me love me love me
love me love me but
빌어먹을 Huh 내 거울 알러지
나도 Want to dance Hype Boy
But 화면 속엔 Like TOMBOY
비웃을 거야 그래 그 Boy
Oh god it’s so funny
말투는 왜 Too much dope
내가 뭔데 성격까지 좋지 않아
그래 맞아 나는 평생 혼자일지도
Please give me your Like button
나도 사랑받고 싶거든
빌어먹을 My name
Why ain’t I pretty
Why ain’t I lovely
Why ain’t I sexy
Why am I me
Love me love me love me
love me love me, want
Love me love me love me
love me love me, want
She so pretty
Yea so lovely
She got everything
Why am I not her
Love me love me love me
love me love me but
빌어먹을 Huh 내 거울 알러지
라라라라라 라라라 라라라
라라라라라 라라라 라
라라라라라 라라라 라라라
라라라라라 라라라 라
빌어먹을 Huh 내 거울 알러지",댄스
37,나의 바람 (Wind And Wish),비투비,"Woo Ah Woah 내 맘을 전해줘
저 멀리 그대에게 닿도록
Woo Ah Woah 내 바람이 스칠 때
행복을 느낄 수 있게
긴 하루의 끝에 또 너를 생각해
오늘 넌 어떻게 하루를 보냈을까
시간은 빠르게 도는데
여전히 내 맘은 똑같아
넌 별일 없기를 오늘도 바라
행복하고 잘 지내길 바라
진심이야 I’m not lying
맘을 담아 너를 응원해
To your future endeavors yeah
우리 Happily ever after
바람과 사라졌지만
I still wish you the best
Cuz I love whenever you smile
Woo Ah Woah 내 맘을 전해줘
저 멀리 그대에게 닿도록
Woo Ah Woah 내 바람이 스칠 때
행복을 느낄 수 있게
Everybody say WAW
Yayayaya
나의 바람 갈 수 있게 WAW
Yayayaya
날 느낄 수 있게
가끔은 허전해 어딘가 모르게
그래도 행복해 괜찮아 모든 게
아름답던 우리 추억이
꽤 힘이 되곤 해 Yeah
너도 그러길 오늘도 바라
네가 그리울 땐 눈을 감아
살랑살랑 두 뺨을 간지럽히는 바람
어느새 귀에 걸린 입꼬리
산뜻하게 흥얼거림 허밍 Errbody say
(Um-um-um-um) Say
(Um-um-um-um) For a better day
너의 숨결을 느낄 때
다시 나아갈 수가 있기에
넌 계속 행복해 줘
늘 그렇게 빛나줘
너의 바람 느껴질 때
그때 웃을 수 있게
Woo Ah Woah 내 맘을 전해줘
저 멀리 그대에게 닿도록
Woo Ah Woah 내 바람이 스칠 때
사랑을 느낄 수 있게
Everybody say WAW
Yayayaya
나의 바람 갈 수 있게 WAW
Yayayaya
날 느낄 수 있게
Say WAW",댄스
38,Attention,NewJeans,"You and me
내 맘이 보이지
한참을 쳐다봐
가까이 다가가
You see
You see, ey ey ey ey

One, two, three
용기가 생겼지
이미 아는 네 눈치
고개를 돌려 천천히
여기
You see
여기 보이니

Looking for attention 너야겠어
확실하게 나로 만들겠어
Stop, eyyy
Drop the question
Drop the, drop the question
Want attention
Wanna want attention

You give me butterflies you know
내 맘은 온통 paradise
꿈에서 깨워주지 마

You got me looking for attention
You got me looking for attention
가끔은 정말
헷갈리지만
분명한 건
Got me looking for attention

널 우연히 마주친 척할래
못 본 척 지나갈래
You’re so fine
Gotta gotta get to know ya
나와 나와 걸어가 줘

지금 돌아서면
I need ya, need ya, need ya
To look at me back
Hey 다 들켰었나
널 보면 하트가 튀어나와

난 사탕을 찾는 baby (baby)
내 맘은 설레이지
Eyyy, drop the question
Drop the, drop the question
Want attention
Wanna want attention

You give me butterflies you know
내 맘은 온통 paradise
꿈에서 깨워주지 마

You got me looking for attention
You got me looking for attention
가끔은 정말
헷갈리지만
분명한 건
Got me looking for attention

You got me looking for attention
You got me looking for attention
가끔은 정말
헷갈리지만
분명한 건
Got me looking for attention

A T T E N T I on
Attention is what I want
A T T E N T I on
Attention is what I want
A T T E N T I on
Attention is what I want
A T T E N T I on
You got me looking for attention",댄스
39,A bientot,임영웅,"A bientot
A bientot
이 밤이 지나면 괜찮아질 수 있을까
쓰린 내 맘이 회복될 수가 있을까
네가 떠난 빈자리가 너무 크니까
그 공허함에 깔려 겨우 살고 있잖아
기억은 잔인하고 후유증은 지독해
겨우 잠을 이뤄도 꿈자리는 뒤숭숭해
마음의 반을 도려내 버리고 난 후에
너라는 감옥에서 풀려날 수 있었네
38도 탕 안처럼 포근한
그날의 온도는 아직도 나의 가슴에
깊게 뿌리내려 뻗어 미련이란 놈은
공기처럼 내 마음을 드나드네
넌 빌런이자 하나님이야
셀 수 없는 많은 노래를
잉태하고 부숴버렸네
널 향해 나는 기도해
널 향해 나는 기도해
A bientot
A bientot
인생은 너무 외로워
너에게 전화를 거네요
A bientot
A bientot
인생은 너무 외로워
너에게 전화를 거네요
이럼 안되지만
그때 우린 뜨거운 용암처럼 사랑했네
너의 영은 열이 되어 내 몸에 있네
가열된 너의 온기가 아직도 식질 않네
늦은 새벽 눈물로 가득 찬 내 베개
사진에 찍혀 있던 우리들의 손가락
추억이 되어 흘러내리는 그 손가락
우리의 추억들이 나는 너무 좋았지
라디오에서 소개된 사연들처럼
난 요새
Young Thug Pick Up The Phone
꽂혀있어
너는 어떤 노래를 듣는지 궁금해
아직도 힙합을 듣고 있어
힙합을 듣고 있다면 언젠가
이 노래도 들을 수 있을까
넌 나에게 음악 그 이상의 존재였어
서로를 이해하는 법 몰랐었던 우리들
서툶 때문에 상처를 주고받곤 했잖아
함께 나눈 감정들 너무 달달했기에
다시 예전으로 발걸음을 돌려보려 해도
A bientot
A bientot
인생은 너무 외로워
너에게 전화를 거네요
A bientot
A bientot
인생은 너무 외로워
너에게 전화를 거네요
이럼 안되지만
인생이 너무 외로워
허공에 말을 걸지만
그건 단조로운 리듬이 돼
그건 단조로운 리듬이 돼
마음이 너무 외로워
허공에 말을 걸지만
그건 단조로운 리듬이 돼
그건 단조로운 리듬이 돼
그건 단조로운 리듬이
그건 단조로운 리듬이 되고 있네
A bientot
A bientot
이제는 너를 잊을게 잊을게
A bientot",랩/힙합
40,인생찬가,임영웅,"꿈처럼 지나간 시간
나는 무얼 찾고 싶었나
지도도 없이 걸어온 삶을
후회하진 않으리
떠난 어제는 떠날 오늘로
남겨지기도 하지
나의 친구여 나의 형제여
내 이름 불러주오
미안하다 나의 인생아
앞만 보며 살아왔구나
찬란한 순간이여 영원하라
내일은 처음 가는 길
언제나처럼 또 두려워
버들강아지 활짝 웃는 날
후회하지 않으리
비가 내리면 노래하리
눈이 내려도 좋아
나의 친구여 나의 형제여
내 이름 불러 주오
미안하다 나의 인생아
앞만 보며 살아왔구나
찬란한 순간이여 영원하라
영원한 순간이여 찬란하라",발라드
41,손이 참 곱던 그대,임영웅,"손이 참 곱던 그대 어느새 이렇게
내 맘 깊숙이 스며들었나요
나 그대의 그 미소에
맘이 떨려 한순간
그대 때문에 음흠 그대여 음흠
날 받아 주세요
나 그대에게 안길게요
한순간에 일초만에
당장 너에게 달려갈게
저 붉은 태양보다 그대만
저 푸른 하늘보다 그대만
사랑해 너무 사랑해
세상 그 무엇보다
밝게 날 비추네 음흠
그대여 음흠
날 받아 준다면
다 그대에게 바칠게요
내 하루의 일분일초까지
당신만 생각할게
저 붉은 태양보다 그대만
저 푸른 하늘보다 그대만
사랑해 너무 사랑해
세상 그 무엇보다
밝게 날 비추네 음흠 그대여 유후
저 지는 노을보다 그대만
저 우주 별빛보다 그대만
사랑해 너를 사랑해
세상 그 무엇보다
밝게 날 비추네 음흠 그대여 음흠
손이 참 곱던 그대
내 맘 깊숙이
나 그대의 그 미소에 음흠",재즈
42,CHRISTIAN,Zior Park,"Money makes me feel better
You told me it was a ticket to hell,
ok how come?
Do you think that I’m a devil?
Sex makes me feel better,
how could you judge me?
I know you don't deserve to
Now You act like a Pharisee
When I was poor,
my mom was stressed out
Now look, money made me
a good boy to my mom
When I was poor,
I was like a hungry fox
Now look, I saved a lotta
buddies from the basement
I just bought a Christian,
it’s blinging on my body
I’m toasting with celebrities
at the same bar
Hey pretty,
do you wanna f*** with me?
That’s no problem
But Sunday morning is coming,
I gotta go to church
I’m still f***ing christian
Though I’m wearing new “Christian”
You should check my algorithm
It’s not much different
from the old me
I’m still f***ing christian
Though I’m wearing new “Christian”
You should check my algorithm
It’s not much different
from the old me
I’m still f***ing christian
I’m still f***ing christian
I’m still f***ing
Stinky smell’s stuck in my room
Even after I took a shower
How can I erase it
Where’s the origin ?
Hey Mr. I’m talking about you
What’s funny? Seriously?
You feel this disgusting smell
I think it’s from your stinky breath
Street people, you think you’re smart
You think you got no god
But I know you worship yourself
What a stupid god !
Is your god a liar?
Your god is so outrageous,
you would better die
I just bought a Christian
it’s blinging on my body
I’m toasting with celebrities
at the same bar
Hey pretty, do you wanna
f*** with me? That’s no problem
But Sunday morning is coming,
I gotta go to church
I’m still f***ing christian
Though I’m wearing new “Christian”
You should check my algorithm
It’s not much different from the old me
I’m still f***ing christian
Though I’m wearing new “Christian”
You should check my algorithm
It’s not much different from the old me
I’m still f***ing christian
I’m still f***ing christian
I’m still f***ing
Oh lord forgive my people
I didn’t know what I’ve done
Oh lord Look at my finger,
dirt is stuck in my nails
Oh lord please clean my tongue
it’s covered by pukes and phlegms
Oh mom now I get it why you told me
that you wanna go back
when I was a child
I’m still f***ing christian",록/메탈
43,사랑해 진짜,임영웅,"숱한 날들 모두 내게 남아있는 추억들
빛바랜 기억들 사이
그대 모습만이 아련하게 빛나네
지나간 세월이 야속하진 않아
그댈 만났으므로
피어날 내일을 기대해 오
그대 내게 와줬으니
나 진짜 진짜 당신만을 사랑하고 사랑해
내 삶의 반쪽 그대만을
아 나는 그대만 보고 있어
아 나는 그대를 사랑합니다
오색빛의 색이 물든 미완성의 그림 하나
그래 내 마음 같겠지
어느 날 그대가 내게 오기 전까지
지나간 시간이 야속하진 않아
그댈 만났으므로
피어날 내일을 기대해
그대 내게 와줬으니
나 진짜 진짜 당신만을 사랑하고 사랑해
내 삶의 반쪽 그대만을
아 나는 그대만 보고 있어
아 나는 그대를 사랑합니다
내게 와준 그대여 고맙고 또 고마워
하늘이 무너져도 그댈 찾을 수 있어
나 진짜 진짜 당신만을 사랑하고 사랑해
내 삶의 반쪽 그대만을
아 나는 그대만 보고 있어
아 나는 그대를 사랑합니다
그대를 사랑합니다",포크/블루스
44,사랑..그게 뭔데,지아,"무슨 뜻인 건가요 지금 한 그 말
잊으라는 지우라는 차가운 한 마디
믿어지지 않아요 거짓말 같아
왜 우리가 왜 우리가 헤어져야 해
제발 말해줘요 잘못 들은 거라고
이러다 내 가슴이 터지기 전에
대체 니가 뭔데 날 울려 날 울려
어떻게 니가 날 떠나가
이렇게 버릴 걸 왜 나를 가졌니
사랑 그게 뭔데
이토록 가슴에 힘겨운 상처만 남겨놔
너 아닌 누구도 이제 다신 품을 수 없게
나를 알잖아요 여린 사람이란 걸
왜 기어코 자꾸 날 독해지게 해
대체 니가 뭔데 날 울려 날 울려
어떻게 니가 날 떠나가
이렇게 버릴걸 왜 나를 가졌니
사랑 그게 뭔데
이토록 가슴에 힘겨운 상처만 남겨놔
너 아닌 누구도 이제 다신 품을 수 없게
도대체 어쩌라고 날 더러 날 더러
왜 나를 미치게 만들어
니까짓 게 뭔데 날 아프게 해
그런 너를 위해 지금껏
모든 걸 다 줬던 내가 난 더 미워
그런 널 아직도 사랑하는 내가 더 미워
사랑해 사랑해 사랑해
사랑해 아직도 너를
사랑해 사랑해 사랑해 영원히
돌아와 돌아와
나의 곁으로 제발",발라드
45,연애편지,임영웅,"노을에 물든 저녁 하늘이
오랜만에 참 좋은 저녁입니다
문득 떠오른 그대 생각에
나지막이 이름을 불러봅니다
나도 몰래 꺼내 본 낡은 수첩엔
그대가 너무도 많아
차마 그립단 말 대신
꽃잎을 넣어 보내며
하얀 종이에 하지 못한 말
아직 그댄 내 고운 사랑입니다
외로이 스쳐 창을 흔드는
바람 소리 쓸쓸한 시간입니다
어둠 만들고 초를 태우며
나지막이 그대를 불러봅니다
나도 몰래 꺼내 본 낡은 사진엔
그대가 너무도 많아
차마 그립단 말 대신
바라본 밤하늘에는
아스라이 먼 작은 별 하나
외로이 홀로 남아 깜박입니다
그대를 닮은 작은 별 하나
외로이 홀로 남아 깜박입니다
그대 고운 이름은 사랑입니다",포크/블루스
46,Like Crazy,지민,"She’s saying
Baby, 생각하지 마
There’s not a bad thing here tonight
Baby, 떠나도 좋아
있어 줘 오늘까지만
Watch me go
날 적셔 밤새도록 (away)
아침도
취해서 오지 않게
시끄러운 음악 속에
희미해진 나
드라마 같은 뻔한 story
익숙해져 가
네가 알던 나를 찾기엔 멀리 온 걸까?
Yeah I know
You know
I know
I’d rather be
Lost in the lights
Lost in the lights
I’m outta my mind
이 밤의 끝을 잡아줘
매일 밤
You spin me up high
너를 품은 달
Let me have a taste
Give me a good ride
(Oh I’m fallin’)
It’s gon’ be a good night
(Oh I’m fallin’)
Forever you and I
거울 속에 비친 나
하염없이 미쳐가
I’m feelin’ so alive, wasting time
I’d rather be
Lost in the lights
Lost in the lights
I’m outta my mind
이 밤의 끝을 잡아줘
매일 밤
You spin me up high
너를 품은 달
Let me have a taste
Give me a good ride
(Oh I’m fallin’)
It’s gon’ be a good night
(Oh I’m fallin’)
Forever you and I
This will break me
This is gonna break me
No don’t you wake me
I wanna stay in this dream, don’t save me
Don’t you try to save me
I need a way we
I need a way we can dream on",댄스
47,NIGHT DANCER,imase,"どうでもいいような 夜だけど
도오데모 이이요오나 요루다케도
아무래도 좋을 것 같은 밤이지만

響めき 煌めきと君も
도효메 키키라메키토 키미모
울리는 소리와 반짝임과 당신도

まだ止まった 刻む針も
마다 토맛타 키자무하리모
아직 멈추어 있는 시계의 바늘도

入り浸った 散らかる部屋も
이리비탓타 치라카루 헤야모
어지러져 있는 방도

変わらないね 思い出しては
카와라나이네 오모이다시테와
변하지 않을거야 생각서는

二人 歳を重ねてた ah
후타리 토시오 카사네테타 ah
둘이서 나이를 먹었지 ah

また止まった 落とす針を
마타 토맛타 오토스하리오
다시 멈춘 LP플레이어의 바늘을

よく流した 聞き飽きるほど
요쿠 나가시타 키키아키루호도
듣기 지칠 정도로 흘려 들었지

変わらないね 変わらないで
카와라나이네 카와라나이데
변하지 않는구나, 변하지 말아줘

いられたのは 君だけか ah
이라레타노와 키미다케카 ah
같이 있을 수 있었던 것은 너뿐이야 ah

無駄話で はぐらかして
무다바나시데 하구라카시테
잡담으로 흘리며

触れた先を ためらうように
후레타 사키오 타메라우요오니
말하기를 머물거리며

足踏みして ズレた針を余所に
아시부미시테 즈레타 하리오 요소니
발을 동동 구르며 삐뚤러진 시계 바늘을 다른 곳으로

揃い始めてた 息が
소로이하지메테타 이키가
멎기 시작했어 숨이

どうでもいいような 夜だけど
도오데모 이이요오나 요루다케도
아무래도 좋을 것 같은 밤이지만

響めき 煌めきと君も ""踊ろう""
도효메 키키라메키토 키미모 오도로오
울리는 소리와 반짝임과 당신도 함께 ""춤춰""

どうでもいいような 夜だけど
도오데모 이이요오나 요루다케도
아무래도 좋을 것 같은 밤이지만

Ah 二人刻もう
ah 후타리 키자모오
ah 둘이서 새기자

Tu-tu-lu-tu-lu

透き通った 白い肌も
스키토옷타 시로이 하다모
맑은 하얀 피부도

その笑った 無邪気な顔も
소노 와랏타 무자키나 카오모
그 웃는 무고한 얼굴도

変わらないね 変わらないで
카와라나이네 카와라나이데
변하지 않는구나, 변하지말아줘

いられるのは 今だけか ah ah ah
이라레루노와 이마다케카 ah ah ah
이대로 있을 수 있는건 지금뿐이야 ah ah ah

見つめるほどに
미츠메루호도니
보면 볼수록

溢れる メモリー
아후레루 메모리이
흘러오는 추억

浮つく心に コーヒーを
우와츠쿠 코코로니 코오히이오
떠있는 마음에 커피를

乱れたヘアに 掠れたメロディー
미다레타 헤아니 카스레타 메로디이
난장판인 방에서 나오는 낡은 멜로디

混ざりあってよう もう一度
마자리앗테 요오 모오이치도
다시 엉켜 보자

どうでもいいような 夜だけど
도오데모 이이요오나 요루다케도
아무래도 좋을 것 같은 밤이지만

ときめき 色めきと君も ""踊ろう""
토키메키 이로메키토 키미모 오도로오
설렘이 가득한 너도 ""춤춰""

どうでもいいような 夜だけど
도오데모 이이요오나 요루다케도
아무래도 좋을 것 같은 밤이지만

Ah 二人刻もう
ah 후타리 키자모오
ah 둘이서 새기자

Tu-tu-lu-tu-lu

夜は長い おぼつかない
요루와 나가이 오보츠카나이
밤을 길고 안정되지 않아

今にも止まりそうな ミュージック
이마니모 토마리소오나 뮤우짓쿠
지금이라도 멈출 것만 같은 음악

君といたい 溺れてたい
키미토 이타이 오보레테타이
너와 함께 있고 싶어, 빠지고 싶어

明日がこなくたって もういいの
아시타가 코나쿠탓테 모오 이이노
내일이 오지 않는다고 해도 괜찮아

どうでもいいような 夜だけど
도오데모 이이요오나 요루다케도
아무래도 좋을 것 같은 밤이지만

響めき 煌めきと君も ""踊ろう""
도요메 키키라메키토 키미모 오도로오
울리는 소리와 반짝임과 당신도 함께 ""춤춰""

どうでもいいような 夜だけど ah
도오데모 이이요오나 요루다케도 ah
아무래도 좋을 것 같은 밤이지만 ah

Ah 愛して
ah 아이시테
ah 사랑해줘

どうでもいいから 僕だけを
도오데모 이이카라 보쿠다케오
아무래도 좋으니까 나만을

ふらつき よろめきながらも ""踊ろう""
후라츠키 요로메키나가라모 오도로오
비틀거리며 비틀거리면서도 ""춤추자""

どうでもいいような 夜だけど
도오데모 이이요오나 요루다케도
아무래도 좋을 것 같은 밤이지만

Ah 二人刻もう
ah 후타리 키자모오
ah 둘이서 새기자",J-POP
